type,stars,cnt
American,1,198008
American,2,156851
American,3,213527
American,4,425228
American,5,724903
Chinese,1,32066
Chinese,2,19890
Chinese,3,27031
Chinese,4,56618
Chinese,5,88660
Mexican,1,48600
Mexican,2,31787
Mexican,3,39458
Mexican,4,80545
Mexican,5,148628
