city,avg_rating
St. Peters,4.784313725490196
Town N Country,4.769230769230769
Pass-a-Grille Beach,4.712643678160919
Town 'n' Country,4.686131386861314
Sparks NV,4.559633027522936
Balm,4.558558558558558
Chestnut Hill,4.553571428571429
Truckee,4.5353535353535355
reno,4.483443708609271
Mulberry,4.457516339869281
