word,freq
the,36709976
and,26129549
i,18982275
a,18798246
to,17717799
was,13446218
of,10407529
it,8899907
for,8676435
is,8663998
in,8229607
my,7023958
we,6316549
with,6078326
that,6034353
they,5910552
this,5844908
but,5444127
on,5132068
you,4938056
