user_name,user_review_count
Fox,17473
Victor,16978
Bruce,16567
Shila,12868
Kim,9941
Nijole,8363
Vincent,8354
George,7738
Kenneth,6766
Jennifer,6679
Sunil,6459
Eric,5887
Ed,5800
Rob,5511
Dominik,5434
Misha,5163
Michael,5061
Stefany,5014
Jess,5002
Hannah,4994
